"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
consent_suppie_consent,informed_consent,,radio,"Was IRB approved informed consent signed?","N, NO | Y, YES",,,,,,,y,,,,,
consent_dsterm,informed_consent,,descriptive,"INFORMED CONSENT OBTAINED",,,,,,,"0 = 1",,,,,,
consent_dsdecod,informed_consent,,descriptive,"INFORMED CONSENT OBTAINED",,,,,,,"0 = 1",,,,,,
consent_dscat,informed_consent,,descriptive,"PROTOCOL MILESTONE",,,,,,,"0 = 1",,,,,,
consent_dsstdtc,informed_consent,,text,"Date participant signed consent",,YYYY-MM-DD,date_ymd,,,,"[consent_suppie_consent] = 'Y'",y,,,,,
consent_suppie_confirm,informed_consent,,checkbox,"By checking YES I confirm that I have reviewed Informed consent process documentation as well as the Informed Consent Form (ICF) and found them to be in compliance with ICH/ GCP guidelines and Study Protocol","Y, YES",,,,,,"[consent_suppie_consent] = 'Y'",y,,,,,
dm_race,demographics,,radio,Race,"BLACK_OR_AFRICAN_AMERICAN, Black or African American | AMERICAN_INDIAN_OR_ALASKA_NATIVE, American Indian or Alaska Native | ASIAN, Asian | NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER, Native Hawaiian or other Pacific Islander | WHITE, White | NOT_REPORTED, Not Reported | OTHER, Other",,,,,,,y,,,,,
dm_ethnic,demographics,,radio,"Ethnic Group","NOT_HISPANIC_OR_LATINO, Not Hispanic or Latino | HISPANIC_OR_LATINO, Hispanic or Latino | NOT_REPORTED, Not Reported | OTHER, Other",,,,,,,y,,,,,
height_vstestcd,demographics,,descriptive,HEIGHT,,,,,,,"0 = 1",,,,,,
height_vstest,demographics,,descriptive,Height,,,,,,,"0 = 1",,,,,,
height_vsorres,demographics,,text,Height,,,number,,,,"[height_vsperf] != 'N'",y,,,,,
height_vsorresu,demographics,,radio,"Height Unit","cm, cm | IN, IN",,,,,,"[height_vsperf] != 'N'",y,,,,,
weight_vstestcd,demographics,,descriptive,WEIGHT,,,,,,,"0 = 1",,,,,,
weight_vstest,demographics,,descriptive,Weight,,,,,,,"0 = 1",,,,,,
height_vsperf,demographics,,radio,"Height Recorded?","N, NO | Y, YES","Indicate if the vital signs were collected. If yes, include the appropriate details where indicated on the CRF.",,,,,"[height_vsorres] = ''",y,,,,,
weight_vsorres,demographics,,text,Weight,,"Use pretreatment or day 1 weight",number,,,,"[weight_vsperf] != 'N'",y,,,,,
weight_vsorresu,demographics,,radio,"Weight unit","kg, kg | LB, LB",,,,,,"[weight_vsperf] != 'N'",y,,,,,
weight_vsperf,demographics,,radio,"Weight Recorded?","N, NO | Y, YES","Indicate if the vital signs were collected. If yes, include the appropriate details where indicated on the CRF.",,,,,"[weight_vsorres] = ''",y,,,,,
rand_suppex_rndoccur,randomization,,radio,"Is subject eligible for randomization?","N, NO | Y, YES",,,,,,,y,,,,,
rand_suppex_rndstdtc,randomization,,text,"Date subject randomized",,YYYY-MM-DD,date_ymd,,,,"[rand_suppex_rndoccur] = 'Y'",y,,,,,
rand_suppex_randreg,randomization,,radio,"Randomized treatment regimen","HVN, Harvoni | VPK,  Viekira Pak | ZEP, Zepatier",,,,,,"[rand_suppex_rndoccur] = 'Y'",y,,,,,
scrfail_dsterm,randomization,,radio,"Reason for screen failure","HVN_NOT_AVAILABLE, Harvoni not on formulary | WITHDRAWAL_BEFORE_RANDOMIZED, Subject withdrawal prior to randomization",,,,,,"[rand_suppex_rndoccur] = 'N'",y,,,,,
iecp_nxmesg,inclusion_exclusion,,descriptive,"<div class='red'>Subject has Child Pugh <strong>[1_arm_1][cp_vsorres]</strong>. Please record failed criteria.</div>",,,,,,,"[1_arm_1][cp_vsorres] != '' AND [1_arm_1][cp_vsorres] > '6' AND ([ie_ietestcd] = '' OR [ie_ietestcd] != 'EXCL04')",,,,,,
ie_ietestcd,inclusion_exclusion,,dropdown,"Inclusion / Exclusion criterion failed","INCL01, HCV Genotype 1 | INCL02, Subject greater than 18 years old | INCL03, Not participating in another clinical trial | INCL04, In provider's opinion, subject should be treated with HVN, VPK or ZEP | EXCL01, Subject is unable to provide written informed consent | EXCL02, Harvoni is not a covered drug on benefits formulary | EXCL03, Current or historical evidence of hepatic decompensation (variceal bleeding, hepatic encephalopathy or ascites) | EXCL04, Child Pugh (CTP) B or C Cirrhosis | EXCL05, Pregnant or breastfeeding woman",,,,,,,y,,,,,
ie_iestresc,inclusion_exclusion,,radio,"Was subject enrolled in the study despite this I/E failure?","N, NO | Y, YES",,,,,,,y,,,,,
trt_suppex_txstat,treatment_start,,radio,"Was randomized treatment started?","N, NO | Y, YES",,,,,,,y,,,,,
dm_rfxstdtc,treatment_start,,text,"Treatment start date",,,date_ymd,,,,"[trt_suppex_txstat] = 'Y'",y,,,,,
trt_suppex_txrsnost,treatment_start,,radio,"Reason for not starting HCV regimen","INSURANCE_DENIED, Insurance approval denied | SUBJECT_WITHDRAWAL, Subject changed mind about HCV treatment | SUBJECT_INELIGIBLE, Subject's condition changed making them ineligible for current HCV treatment | SUBJECT_DECLINED, Subject declined randomized treatment | FINANCIAL, Subject can't afford copay | OTHER, Other",,,,,,"[trt_suppex_txstat] = 'N'",y,,,,,
trt_suppex_insrsn,treatment_start,,radio,"Reason for insurance denial","SUBSTANCE_USE, Substance use | CIRRHOSIS_CRITERIA, Subject did not meet formulary Cirrhosis criteria",,,,,,"[1_arm_1][trt_suppex_txrsnost] = 'INSURANCE_DENIED'",y,,,,,
trt_oth_suppex_txrsnost,treatment_start,,text,"Reason for not starting HCV regimen other",,,,,,,"[trt_suppex_txrsnost] = 'OTHER'",y,,,,,
trt_suppex_nostdtc,treatment_start,,text,"Date of note indicating reason treatment not started",,YYYY-MM-DD,date_ymd,,,,"[trt_suppex_txrsnost] = 'INSURANCE_HOLD' OR [trt_suppex_txrsnost] = 'OTHER'",y,,,,,
ship_suppex_shpoccur,drug_ship_date,,radio,"Was drug shipped?","N, NO | Y, YES",,,,,,,y,,,,,
ship_suppex_shpstdtc,drug_ship_date,,text,"Date drug shipped",,YYYY-MM-DD,date_ymd,,,,"[1_arm_1][ship_suppex_shpoccur] = 'Y'",y,,,,,
dcp_mhterm,key_medical_history,,descriptive,"Decompensated cirrhosis",,,,,,,"0 = 1",,,,,,
dcp_mhoccur,key_medical_history,,radio,"Indication of Hepatic Decompensation on record?","N, NO | Y, YES",,,,,,,y,,,,,
dbts_mhterm,key_medical_history,,descriptive,Diabetes,,,,,,,"0 = 1",,,,,,
dbts_mhoccur,key_medical_history,,radio,"Diabetes diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
coag_mhterm,key_medical_history,,descriptive,"Coagulation disorder",,,,,,,"0 = 1",,,,,,
coag_mhoccur,key_medical_history,,radio,"Inherited coagulation disorder diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
kdne_mhterm,key_medical_history,,descriptive,"Kidney Transplant",,,,,,,"0 = 1",,,,,,
kdne_mhoccur,key_medical_history,,radio,"Kidney transplant on record?","N, NO | Y, YES",,,,,,,y,,,,,
kdne_suppmh_mhstyr,key_medical_history,,text,"Year of kidney transplant",,YYYY,year_only,1970,,,"[kdne_mhoccur]= ""Y"" AND [kdne_suppmh_nomhstyr] != 'Y'",y,,,,,
kdne_suppmh_nomhstyr,key_medical_history,,radio,"Is year of kidney transplant unknown?","N, NO | Y, YES",,,,,,"[kdne_mhoccur] = 'Y' AND [kdne_suppmh_mhstyr] = ''",y,,,,,
livrlist_sctest,key_medical_history,,descriptive,"Listed for liver transplant at baseline?",,,,,,,"0 = 1",,,,,,
livrlist_sctestcd,key_medical_history,,descriptive,LIVXPLTLS,,,,,,,"0 = 1",,,,,,
livrlist_scorres,key_medical_history,,radio,"Listed for liver transplant at baseline?","N, NO | Y, YES",,,,,,,y,,,,,
livr_mhterm,key_medical_history,,descriptive,"Liver Transplant",,,,,,,"0 = 1",,,,,,
livr_mhoccur,key_medical_history,,radio,"Liver transplant on record?","N, NO | Y, YES",,,,,,,y,,,,,
livr_suppmh_mhstyr,key_medical_history,,text,"Year of liver transplant",,YYYY,year_only,1970,,,"[livr_mhoccur]= ""Y"" AND [livr_suppmh_nomhstyr] != 'Y'",y,,,,,
livr_suppmh_nomhstyr,key_medical_history,,radio,"Is year of liver transplant unknown?","N, NO | Y, YES",,,,,,"[livr_mhoccur] = 'Y' AND [livr_suppmh_mhstyr] = ''",y,,,,,
heart_mhterm,key_medical_history,,descriptive,"Heart Transplant",,,,,,,"0 = 1",,,,,,
heart_mhoccur,key_medical_history,,radio,"Heart transplant on record?","N, NO | Y, YES",,,,,,,y,,,,,
heart_suppmh_mhstyr,key_medical_history,,text,"Year of heart transplant",,YYYY,year_only,1970,,,"[heart_mhoccur]= ""Y"" AND [heart_suppmh_nomhstyr] != 'Y'",y,,,,,
heart_suppmh_nomhstyr,key_medical_history,,radio,"Is year of heart transplant unknown?","N, NO | Y, YES",,,,,,"[heart_mhoccur] = 'Y' AND [heart_suppmh_mhstyr] = ''",y,,,,,
lung_mhterm,key_medical_history,,descriptive,"Lung Transplant",,,,,,,"0 = 1",,,,,,
lung_mhoccur,key_medical_history,,radio,"Lung transplant on record?","N, NO | Y, YES",,,,,,,y,,,,,
lung_suppmh_mhstyr,key_medical_history,,text,"Year of lung transplant",,YYYY,year_only,1970,,,"[lung_mhoccur]= ""Y"" AND [lung_suppmh_nomhstyr] != 'Y'",y,,,,,
lung_suppmh_nomhstyr,key_medical_history,,radio,"Is year of lung transplant unknown?","N, NO | Y, YES",,,,,,"[lung_mhoccur] = 'Y' AND [lung_suppmh_mhstyr] = ''",y,,,,,
cry_mhterm,key_medical_history,,descriptive,Cryoglobulinemia,,,,,,,"0 = 1",,,,,,
cry_mhoccur,key_medical_history,,radio,"Cryoglobulinemia diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
cdep_mhterm,key_medical_history,,descriptive,Depression,,,,,,,"0 = 1",,,,,,
cdep_mhoccur,key_medical_history,,radio,"Depression diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
cbpd_mhterm,key_medical_history,,descriptive,"Bipolar Disorder",,,,,,,"0 = 1",,,,,,
cbpd_mhoccur,key_medical_history,,radio,"Bipolar Disorder diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
canx_mhterm,key_medical_history,,descriptive,"Anxiety Disorder",,,,,,,"0 = 1",,,,,,
canx_mhoccur,key_medical_history,,radio,"Anxiety Disorder diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
othpsy_mhterm,key_medical_history,,descriptive,"Other psychiatric disorder",,,,,,,"0 = 1",,,,,,
othpsy_mhoccur,key_medical_history,,radio,"Other psychiatric disorder diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
othpsy_oth_mhterm,key_medical_history,,text,"Other psychiatric disorder (specify)",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[othpsy_mhoccur] = ""Y""",y,,,,,
auto_mhterm,key_medical_history,,descriptive,"Auto-immune disorder",,,,,,,"0 = 1",,,,,,
auto_mhoccur,key_medical_history,,radio,"Auto-immune disorder diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
eczema_mhterm,key_medical_history,,descriptive,Eczema,,,,,,,"0 = 1",,,,,,
eczema_mhoccur,key_medical_history,,radio,"Eczema diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
psor_mhterm,key_medical_history,,descriptive,Psoriasis,,,,,,,"0 = 1",,,,,,
psor_mhoccur,key_medical_history,,radio,"Psoriasis diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
porph_mhterm,key_medical_history,,descriptive,Porphyria,,,,,,,"0 = 1",,,,,,
porph_mhoccur,key_medical_history,,radio,"Porphyria diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
skin_oth_mhterm,key_medical_history,,descriptive,"Other skin condition",,,,,,,"0 = 1",,,,,,
skin_oth_mhoccur,key_medical_history,,radio,"Other skin condition diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
cpain_mhterm,key_medical_history,,descriptive,Pain,,,,,,,"0 = 1",,,,,,
cpain_mhoccur,key_medical_history,,radio,"Pain diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
dvt_mhterm,key_medical_history,,descriptive,DVT,,,,,,,"0 = 1",,,,,,
dvt_mhoccur,key_medical_history,,radio,"DVT / PE diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
cva_mhterm,key_medical_history,,descriptive,Stroke,,,,,,,"0 = 1",,,,,,
cva_mhoccur,key_medical_history,,radio,"CVA / Stroke diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
cadmi_mhterm,key_medical_history,,descriptive,"Coronary artery disease",,,,,,,"0 = 1",,,,,,
cadmi_mhoccur,key_medical_history,,radio,"CAD / MI diagnosis on record? ","N, NO | Y, YES",,,,,,,y,,,,,
hl_mhterm,key_medical_history,,descriptive,Hyperlipidemia,,,,,,,"0 = 1",,,,,,
hl_mhoccur,key_medical_history,,radio,"Hyperlipidemia diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
htn_mhterm,key_medical_history,,descriptive,Hypertension,,,,,,,"0 = 1",,,,,,
htn_mhoccur,key_medical_history,,radio,"Hypertension diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
caliver_mhterm,key_medical_history,,descriptive,"Hepatocellular carcinoma",,,,,,,"0 = 1",,,,,,
caliver_mhoccur,key_medical_history,,radio,"Liver Cancer diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
caskin_mhterm,key_medical_history,,descriptive,"Skin Cancer",,,,,,,"0 = 1",,,,,,
caskin_mhoccur,key_medical_history,,radio,"Skin Cancer diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
othca_mhterm,key_medical_history,,descriptive,"Other Cancer",,,,,,,"0 = 1",,,,,,
othca_mhoccur,key_medical_history,,radio,"Other Cancer diagnosis on record?","N, NO | Y, YES",,,,,,,y,,,,,
othca_oth_mhterm,key_medical_history,,text,"Other cancer (specify)",,"@AUTOCOMPLETE=SELECT DISTINCT ae_term FROM meddra_view WHERE ae_category = 'Neoplasms benign, malignant and unspecified (incl cysts and polyps)'",,,,,"[othca_mhoccur] = 'Y'",y,,,,,
dia_mhterm,key_medical_history,,descriptive,Dialysis,,,,,,,"0 = 1",,,,,,
dia_mhoccur,key_medical_history,,radio,"Currently receiving dialysis treatment?","N, NO | Y, YES",,,,,,,y,,,,,
dia_suppmh_mhfrq,key_medical_history,,radio,"Dialysis at least twice in the past week? ","N, NO | Y, YES",,,,,,"[dia_mhoccur] = 'Y'",,,,,,
othpsy_mhmodify,mh_coding,"Medical history",text,"Modified reported term for MH: [othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
othpsy_mhdecod,mh_coding,,text,"Dictionary derived preferred term for MH:[othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
othpsy_mhbodsys,mh_coding,,text,"Body system or organ class for MH: [othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
othca_mhmodify,mh_coding,,text,"Modified reported term for MH: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
othca_mhdecod,mh_coding,,text,"Dictionary derived preferred term for MH: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
othca_mhbodsys,mh_coding,,text,"Body system or organ class for H: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
alc_sutrt,substance_use,,descriptive,ALCOHOL,,,,,,,"0 = 1",,,,,,
alc_suppsu_suncf,substance_use,,radio,"Alcohol usage?","NEVER, Never | CURRENT, Current | FORMER, Former | UNKNOWN, Unkown","Substance Use Occurrence. {NCF}",,,,,,y,,,,,
alc_sudosfrq,substance_use,,radio,"Use frequency per interval","LESS_THAN_1_PER_DAY, < 1 / day | 1_TO_2_PER_DAY, 1 - 2 / day | MORE_THAN_2_PER_DAY, > 2 / day | BINGE_DRINKING, Binge Drinking",,,,,,"[alc_suppsu_suncf] = 'CURRENT'",y,,,,,
tob_sutrt,substance_use,,descriptive,TOBACCO,,,,,,,"0 = 1",,,,,,
tob_suppsu_suncf,substance_use,,radio,"Tobacco usage?","NEVER, Never | CURRENT, Current | FORMER, Former | UNKNOWN, Unknown","Substance Use Occurrence. {NCF}",,,,,,y,,,,,
gen2_mhterm,prior_treatment_response,"Simeprevir- and/or Sofosbuvir-containing regimens",descriptive,"Prior treatment for HCV with all-oral regimen",,,,,,,"0 = 1",,,,,,
gen2_mhoccur,prior_treatment_response,,radio,"Prior treatment for HCV with all-oral regimen?","N, NO | Y, YES",,,,,,,y,,,,,
gen2_suppmh_mhextrt,prior_treatment_response,,checkbox,"Prior all-oral treatment regimen","LDV, Ledipasvir | DCV, Daclatasvir | SMV, Simeprevir | SOF, Sofosbuvir | PEG, Peg Interferon | RBV, Ribavirin | OTHER, Other","Select all that apply",,,,,"[gen2_mhoccur] = 'Y'",,,,,,
gen2_oth_suppmh_mhextrt,prior_treatment_response,,text,"Prior all-oral treatment regimen",,"@AUTOCOMPLETE=SELECT DISTINCT drug_name FROM _whodrug_mp_us",,,,,"[gen2_suppmh_mhextrt(OTHER)] = '1'",,,,,,
pegifn_mhterm,prior_treatment_response,"PEG-IFN + Ribavirin",descriptive,"Prior treatment for HCV with PEG-IFN / Ribavirin in combination?",,,,,,,"0 = 1",,,,,,
pegifn_mhoccur,prior_treatment_response,,radio,"Prior treatment for HCV with PEG-IFN / Ribavirin in combination?","N, NO | Y, YES",,,,,,,y,,,,,
triple_mhterm,prior_treatment_response,"PEG-IFN/Ribavirin + BOC/TPV",descriptive,"Prior triple-therapy treatment (PEG-IFN/Ribavirin + BOC/TPV) in combination?",,,,,,,"0 = 1",,,,,,
triple_mhoccur,prior_treatment_response,,radio,"Prior triple-therapy treatment (PEG-IFN/Ribavirin + BOC/TPV) in combination?","N, NO | Y, YES",,,,,,,y,,,,,
triple_suppmh_cmdaa,prior_treatment_response,,radio,"Which Direct-acting antiviral (DAA) was used?","BOCEPREVIR, Boceprevir | TELAPREVIR, Telaprevir | UNKNOWN, Unknown",,,,,,"[triple_mhoccur] = 'Y'",y,,,,,
nopegifn_mhterm,prior_treatment_response,"Non PEG-IFN",descriptive,"Previous Non PEG-IFN / ribavirin based regimen?",,,,,,,"0 = 1",,,,,,
nopegifn_mhoccur,prior_treatment_response,,radio,"Previous Non PEG-IFN / ribavirin based regimen (i.e. Interferon-?  alone, Rebetron, Infergen +/- Ribavirin)","N, NO | Y, YES",,,,,,,y,,,,,
il28bgt_lbtestcd,il28b_hcv_genotypes,,descriptive,IL28B,,,,,,,"0 = 1",,,,,,
il28bgt_lbtest,il28b_hcv_genotypes,,descriptive,"IL28B genotype",,,,,,,"0 = 1",,,,,,
